order_id,date,book,author,category,quantity,unit_price,total_sales,customer_type,payment_method,customer_gender,customer_age,book_format,rating
ORD-1000,2023-01-01,The Martian,Andy Weir,Science Fiction,1,23.82,23.82,Student,Debit Card,Female,46-55,Hardcover,3
ORD-1001,2023-01-01,Pride and Prejudice,Jane Austen,Classic,1,17.83,17.83,Student,Debit Card,Female,46-55,Hardcover,3
ORD-1002,2023-01-01,The Girl with the Dragon Tattoo,Stieg Larsson,Thriller,1,26.34,26.34,Student,Debit Card,Female,46-55,Hardcover,3
ORD-1003,2023-01-01,Pride and Prejudice,Jane Austen,Classic,2,10.87,21.74,Teacher,Debit Card,Female,"26,35",Paperback,5
ORD-1004,2023-01-01,The Kite Runner,Khaled Hosseini,Fiction,1,13.32,13.32,Teacher,Debit Card,Female,"26,35",Paperback,5
ORD-1005,2023-01-01,The Stand,Stephen King,Horror,1,20.39,20.39,Teacher,Debit Card,Female,"26,35",Paperback,5
ORD-1006,2023-01-01,The Great Gatsby,F. Scott Fitzgerald,Classic,1,13.2,13.2,Teacher,Debit Card,Female,"26,35",Paperback,5
ORD-1007,2023-01-01,The Martian,Andy Weir,Science Fiction,1,16.07,16.07,Teacher,Debit Card,Female,"26,35",Paperback,5
ORD-1008,2023-01-01,Gone Girl,Gillian Flynn,Thriller,1,23.15,23.15,Teacher,Credit Card,Male,18-25,Hardcover,3
ORD-1009,2023-01-01,The Fault in Our Stars,John Green,Young Adult,1,19.53,19.53,Teacher,Credit Card,Male,18-25,Hardcover,3
ORD-1010,2023-01-01,The Catcher in the Rye,J.D. Salinger,Classic,1,19.17,19.17,Teacher,Credit Card,Male,18-25,Hardcover,3
ORD-1011,2023-01-01,The Lord of the Rings,J.R.R. Tolkien,Fantasy,1,31.22,31.22,Teacher,Credit Card,Male,18-25,Hardcover,3
ORD-1012,2023-01-01,The Fault in Our Stars,John Green,Young Adult,1,14.05,14.05,Regular,Debit Card,Female,"26,35",Paperback,4
ORD-1013,2023-01-01,Pride and Prejudice,Jane Austen,Classic,1,10.91,10.91,Regular,Debit Card,Female,"26,35",Paperback,4
ORD-1014,2023-01-01,The Little Prince,Antoine de Saint-Exupéry,Fiction,1,10.01,10.01,Regular,Debit Card,Female,"26,35",Paperback,4
ORD-1015,2023-01-01,The Lord of the Rings,J.R.R. Tolkien,Fantasy,3,29.52,88.55,Teacher,Credit Card,Female,56+,Hardcover,3
ORD-1016,2023-01-01,Brave New World,Aldous Huxley,Dystopian,1,17.72,17.72,Regular,Credit Card,Female,46-55,Hardcover,3
ORD-1017,2023-01-01,The Kite Runner,Khaled Hosseini,Fiction,1,19.86,19.86,Regular,Credit Card,Female,46-55,Hardcover,3
