product,total_sales,quantity,unit_price,rating
MacBook pro,99266.63,50,1995.77,3.91
iphone 13,52482.43,52,1011.05,3.82
Sasung Galaxy,49766.41,55,909.38,4.26
Smart TV,47670.85,60,793.29,3.79
ipad Air,28142.06,48,586.24,4.06
Xbox series X,27778.54,55,503.89,4.06
PlayStation 5,20872.14,41,507.86,3.81
Ninteno Switch,14866.55,50,297.39,4.03
AirPods Pro,12376.33,49,253.25,4.03
Headphones,11931.85,61,195.09,3.91
Monitor,11821.34,39,301.78,3.96
Speaker,7890.95,53,149.57,4.22
Keyboard,6108.4,69,89.12,4.11
Mouse,5229.98,88,59.63,3.95
Webcam,4092.25,42,97.57,3.76
