invoice_id,date,timestamp,product,category,quantity,unit_price,total_sales,customer_type,payment_method,customer_gender,customer_age,rating
INV-1000,2023-03-01,2023-03-01 20:12:00,Oranges,Produce,3,1.04,3.12,Member,Credit Cart,Male,36-45,4
INV-1000,2023-03-01,2023-03-01 20:12:00,Milk,Dairy,1,2.93,2.93,Member,Credit Cart,Male,36-45,4
INV-1000,2023-03-01,2023-03-01 20:12:00,Potatoes,Produce,3,3.02,9.07,Member,Credit Cart,Male,36-45,4
INV-1001,2023-03-01,2023-03-01 21:55:00,Tea,Beverages,2,4.99,9.98,Regular,Credit Cart,Fmale,26-35,4
INV-1001,2023-03-01,2023-03-01 21:55:00,Cheese,Dairy,3,5.81,17.43,Regular,Credit Cart,Fmale,26-35,4
INV-1001,2023-03-01,2023-03-01 21:55:00,Tea,Beverages,2,5.13,10.26,Regular,Credit Cart,Fmale,26-35,4
INV-1001,2023-03-01,2023-03-01 21:55:00,Toilet Paper,Household,2,9.35,18.7,Regular,Credit Cart,Fmale,26-35,4
INV-1001,2023-03-01,2023-03-01 21:55:00,Apples,Produce,3,15.23,45.68,Regular,Credit Cart,Fmale,26-35,4
INV-1002,2023-03-01,2023-03-01 16:02:00,Bread,Bakery,2,4.29,8.59,Member,Credit Cart,Male,36-45,4
INV-1002,2023-03-01,2023-03-01 16:02:00,Wine,Alcohol,2,12.15,24.29,Member,Credit Cart,Male,36-45,4
INV-1002,2023-03-01,2023-03-01 16:02:00,Yagurt,Dairy,1,1.91,1.91,Member,Credit Cart,Male,36-45,4
INV-1002,2023-03-01,2023-03-01 16:02:00,Chicken,Meat,2,9.18,18.36,Member,Credit Cart,Male,36-45,4
INV-1002,2023-03-01,2023-03-01 16:02:00,Coffee,Beverages,3,8.17,24.52,Member,Credit Cart,Male,36-45,4
INV-1002,2023-03-01,2023-03-01 16:02:00,Cheese,Dairy,3,5.77,17.3,Member,Credit Cart,Male,36-45,4
INV-1002,2023-03-01,2023-03-01 16:02:00,Tomatoes,Produce,1,2.46,2.46,Member,Credit Cart,Male,36-45,4
INV-1002,2023-03-01,2023-03-01 16:02:00,Sugar,Pantry,2,3.09,6.18,Member,Credit Cart,Male,36-45,4
INV-1002,2023-03-01,2023-03-01 16:02:00,Wine,Alcohol,1,12.46,12.46,Member,Credit Cart,Male,36-45,4
INV-1002,2023-03-01,2023-03-01 16:02:00,Juice,Beverages,3,3.34,10.03,Member,Credit Cart,Male,36-45,4
INV-1003,2023-03-01,2023-03-01 14:01:00,Bananas,Produce,1,2.06,2.06,Member,Debit Card,Fmale,56+,4
INV-1003,2023-03-01,2023-03-01 14:01:00,Coffee,Beverages,2,7.96,15.91,Member,Debit Card,Fmale,56+,4
INV-1003,2023-03-01,2023-03-01 14:01:00,Milk,Dairy,1,3.13,3.13,Member,Debit Card,Fmale,56+,4
INV-1003,2023-03-01,2023-03-01 14:01:00,Apples,Produce,3,15.72,47.17,Member,Debit Card,Fmale,56+,4
INV-1003,2023-03-01,2023-03-01 14:01:00,Beef,Meat,3,12.9,38.7,Member,Debit Card,Fmale,56+,4
INV-1003,2023-03-01,2023-03-01 14:01:00,Tea,Beverages,3,4.78,14.33,Member,Debit Card,Fmale,56+,4
INV-1004,2023-03-01,2023-03-01 21:32:00,Butter,Dairy,2,4.92,9.84,Member,Credit Cart,Fmale,56+,3
INV-1004,2023-03-01,2023-03-01 21:32:00,Shampoo,Personal Care,3,5.06,15.19,Member,Credit Cart,Fmale,56+,3
INV-1004,2023-03-01,2023-03-01 21:32:00,Wine,Alcohol,1,12.37,12.37,Member,Credit Cart,Fmale,56+,3
INV-1004,2023-03-01,2023-03-01 21:32:00,Bananas,Produce,3,1.99,5.96,Member,Credit Cart,Fmale,56+,3
INV-1004,2023-03-01,2023-03-01 21:32:00,Bread,Bakery,2,4.61,9.22,Member,Credit Cart,Fmale,56+,3
INV-1004,2023-03-01,2023-03-01 21:32:00,Tea,Beverages,1,5.0,5.0,Member,Credit Cart,Fmale,56+,3
INV-1004,2023-03-01,2023-03-01 21:32:00,Rice,Pantry,3,5.01,15.02,Member,Credit Cart,Fmale,56+,3
INV-1004,2023-03-01,2023-03-01 21:32:00,Water,Beverages,3,0.99,2.96,Member,Credit Cart,Fmale,56+,3
INV-1004,2023-03-01,2023-03-01 21:32:00,Tomatoes,Produce,2,2.5,4.99,Member,Credit Cart,Fmale,56+,3
INV-1004,2023-03-01,2023-03-01 21:32:00,Milk,Dairy,2,2.89,5.79,Member,Credit Cart,Fmale,56+,3
INV-1004,2023-03-01,2023-03-01 21:32:00,Toilet Paper,Household,1,8.57,8.57,Member,Credit Cart,Fmale,56+,3
